Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
10,1.09719,59,599,8194788,3,917566,146,2,9053782,9876422,10016364,10087697,61,9113080,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:0;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:0;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:0;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:0.475972;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:83.8594;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85.1701;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:82.5308;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:221.026;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:1413480448;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:1413480448;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:1413480448;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:8342470656;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85899345920;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85899345920;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85899345920;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:85899345920;
4,1.09719,49,490,2683246,3,909017,141,2,3606222,4079208,4144822,4247891,51,3592880,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:0;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:0;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:0;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:0.451667;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:83.4254;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:84.5884;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:83.7886;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:144.307;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:1413480448;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:1413480448;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:1413480448;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:8342470656;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85899345920;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85899345920;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85899345920;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:85899345920;
5,1.0972,56,518,3596430,3,917230,141,2,4639759,4986723,5053408,5186109,58,4514304,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:0;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:0;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:0;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:0.511528;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:83.4061;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:83.7605;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85.7155;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:249.187;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:1413480448;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:1413480448;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:1413480448;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:8342470656;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85899345920;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85899345920;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85899345920;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:85899345920;
3,1.11108,49,438,1768751,3,894869,133,2,2577072,3150991,3203671,3270848,51,2664174,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:0;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:0;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:0;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:0.541111;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:83.8915;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:84.9295;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:84.987;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:231.869;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:1413480448;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:1413480448;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:1413480448;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:8342470656;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85899345920;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85899345920;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85899345920;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:85899345920;
1,1.12496,47,440,15,3,894484,136,1,846027,1125040,1155935,1179517,48,895066,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:0;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:0;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:0;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:0.525278;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:84.5061;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:84.6097;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:83.5843;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:239.915;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:1413480448;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:1413480448;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:1413480448;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:8342470656;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85899345920;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85899345920;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85899345920;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:85899345920;
7,1.12497,53,495,5246676,3,884265,142,2,6051379,6636855,6760860,6899640,55,6131565,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:0;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:0;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:0;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:0.540694;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:84.557;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:84.2426;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:82.2218;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:227.861;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:1413480448;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:1413480448;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:1413480448;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:8342470656;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85899345920;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85899345920;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85899345920;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:85899345920;
2,1.13885,38,434,885179,2,887108,135,2,1719652,2155834,2270123,2320918,40,1772840,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:0;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:0;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:0;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:0.533611;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:84.3325;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:84.8372;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:84.9224;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:157.057;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:1413480448;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:1413480448;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:1413480448;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:8342470656;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85899345920;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85899345920;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85899345920;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:85899345920;
9,1.13885,44,503,7051763,3,879754,145,2,7891093,8703145,8872075,9008643,46,7932151,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:0;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:0;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:0;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:0.493472;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:84.2921;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:81.9445;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:84.9282;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:207.806;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:1413480448;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:1413480448;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:1413480448;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:8342470656;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85899345920;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85899345920;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85899345920;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:85899345920;
8,1.15275,52,508,5957124,3,867194,140,2,6790488,7277940,7391540,7437533,54,6824953,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:0;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:0;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:0;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:0.534167;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85.4248;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85.1082;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:84.7148;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:224.785;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:1413480448;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:1413480448;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:1413480448;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:8342470656;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85899345920;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85899345920;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85899345920;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:85899345920;
6,1.18052,44,476,4289871,3,851983,141,1,5033381,5681662,5708386,5791051,45,5142458,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:0;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:0;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:0;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:0.5025;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:84.6475;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:83.4574;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:84.7793;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:212.795;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:1413480448;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:1413480448;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:1413480448;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:8342470656;,GPU-0349efc2-0276-bfa1-530c-138cbec00e5a:85899345920;GPU-61ff7fbb-9589-382e-6390-d43838b69e47:85899345920;GPU-e35230e6-e20d-5439-d8e0-b5c67ab9abd6:85899345920;GPU-ff84f963-a1f9-18c0-2c4f-a5e41296ac1e:85899345920;
